TIME,CH1
11805.0781,20.53125
11825.0781,19.40625
11845.0781,19.78125
11865.0781,20.421875
11885.0781,20.203125
11905.0781,19.640625
11925.0781,19.84375
11945.0781,20.546875
11965.0781,20.28125
11985.0781,18.5
12005.0781,16.4375
12025.0781,15.546875
12045.0781,15.828125
12065.0781,16.28125
12085.0781,16.296875
12105.0781,15.6875
12125.0781,14.40625
12145.0781,12.84375
12165.0781,11.90625
12185.0781,11.859375
12205.0781,12.046875
12225.0781,12.09375
12245.0781,12.125
12265.0781,11.859375
12285.0781,10.5625
12305.0781,8.65625
12325.0781,7.71875
12345.0781,8.09375
12365.0781,8.359375
12385.0781,7.5
12405.0781,6.359375
12425.0781,5.96875
12445.0781,5.90625
12465.0781,5.21875
12485.0781,4.109375
12505.0781,3.5625
12525.0781,3.921875
12545.0781,4.421875
12565.0781,4.21875
12585.0781,3.328125
12605.0781,2.46875
12625.0781,2.09375
12645.0781,1.84375
12665.0781,1.125
12685.0781,0.140625
12705.0781,-0.3125
12725.0781,-0.0625
12745.0781,0.21875
12765.0781,0.078125
12785.0781,-0.109375
12805.0781,0
12825.0781,0.125
12845.0781,-0.015625
12865.0781,-0.03125
12885.0781,0.1875
12905.0781,-0.109375
12925.0781,-1.515625
12945.0781,-3.28125
12965.0781,-4.171875
12985.0781,-4.078125
13005.0781,-3.859375
13025.0781,-3.9375
13045.0781,-4.078125
13065.0781,-4.03125
13085.0781,-3.890625
13105.0781,-3.84375
13125.0781,-4.09375
13145.0781,-4.765625
13165.0781,-5.765625
13185.0781,-6.765625
13205.0781,-7.546875
13225.0781,-8.03125
13245.0781,-8.15625
13265.0781,-8
13285.0781,-7.84375
13305.0781,-7.9375
13325.0781,-8.125
13345.0781,-8
13365.0781,-7.734375
13385.0781,-8.125
13405.0781,-9.578125
13425.0781,-11.28125
13445.0781,-12.140625
13465.0781,-12.0625
13485.0781,-11.875
13505.0781,-11.984375
13525.0781,-12.09375
13545.0781,-11.9375
13565.0781,-11.765625
13585.0781,-12.21875
13605.0781,-13.5625
13625.0781,-15.21875
13645.0781,-16.15625
13665.0781,-16.125
13685.0781,-15.875
13705.0781,-15.953125
13725.0781,-16.03125
13745.0781,-15.875
13765.0781,-15.984375
13785.0781,-16.78125
13805.0781,-17.84375
13825.0781,-18.734375
13845.0781,-19.5
13865.0781,-20.078125
13885.0781,-20.1875
13905.0781,-19.9375
13925.0781,-19.84375
13945.0781,-20.015625
13965.0781,-20.078125
13985.0781,-19.953125
14005.0781,-19.921875
14025.0781,-20.015625
14045.0781,-20.03125
14065.0781,-19.953125
14085.0781,-19.953125
14105.0781,-20.015625
14125.0781,-20
14145.0781,-19.953125
14165.0781,-19.96875
14185.0781,-20
14205.0781,-19.984375
14225.0781,-19.96875
14245.0781,-19.96875
14265.0781,-19.984375
14285.0781,-19.984375
14305.0781,-19.984375
14325.0781,-19.953125
14345.0781,-19.96875
14365.0781,-20.03125
14385.0781,-20
14405.0781,-19.890625
14425.0781,-19.953125
14445.0781,-20.1875
14465.0781,-19.859375
14485.0781,-18.40625
14505.0781,-16.609375
14525.0781,-15.8125
14545.0781,-16.03125
14565.0781,-16.09375
14585.0781,-15.75
